SMILES,N2_permeability
*CCCCCC(=O)N*,1.0
*CCCCCC(=O)N*,0.0028
*CCCCCC(=O)N*,0.009975
*CCCCCCCC(=O)N*,0.0015694
*CCCCCCCCCCCC(=O)N*,0.0020349
*NC(CCC(=O)OC)C(*)=O,0.23
*NC(CCC(=O)OCc1ccccc1)C(*)=O,0.06
*NC(CCC(=O)O)C(*)=O,0.0001
*NC(CC(C)C)C(*)=O,1.92
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,0.003
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.02
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0191
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0117
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0218
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.1
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.011641791
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.025373134
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.012238806
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.031388
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,0.051
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,0.032
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,1.33
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.3
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.289
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.3
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.29
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.23
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.22
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.1
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,30.0
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,0.26
*C[Si](*)(C)C,40.0
*CCC[Si](*)(C)C,3.0
*O[Si](*)(C)C,233.0
*CCc1ccc(*)cc1,0.05419344
*CCc1ccc(*)cc1,0.05419344
*CCc1ccc(*)c(C)c1,0.01548384
*CCc1ccc(*)c(C)c1,0.015599969
*CCc1ccc(*)c(CC)c1,0.08903208
*CCc1ccc(*)c(CC)c1,0.090193368
*CCc1ccc(*)c(Cl)c1,0.00774192
*CCc1ccc(*)c(Cl)c1,0.005999988
*CCc1ccc(*)c(Br)c1,0.000774192
*CCc1ccc(*)c(Br)c1,0.000599999
*CCc1cc(Cl)c(*)c(Cl)c1,0.02709672
*CCc1cc(Cl)c(*)c(Cl)c1,0.027019301
*C1CCCCC1*,20000.0
*CC(*)[Si](C)(C)C,11.0
*CC(*)[Si](C)(C)C,8.0
*C(Cl)=C(*)c1ccccc1,1.7
*C(C)=C(*)[Si](C)(C)CCCCCC,4.7
*C=CC1CC(*)C([Si](C)(C)C)C1,7.2
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,3.7
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,39.0
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,22.0
*C=C(*)C(C)(C)C,190.0
*C=C(*)C(C)(C)C,100.0
*C=C(*)C(C)(C)C,29.0
*C=C(*)C(C)(C)C,10.0
*OC1C(COCC)OC(*)C(OCC)C1OCC,4.5
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,0.15
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,0.17
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.1
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.2793
*NC(CCCCSC)C(*)=O,0.09
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,0.013
*COC(=O)NCCCCCCNC(=O)OCc1cccc(*)n1,0.001
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,0.014
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,0.0062
*c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c1)C2=O,0.08
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,0.256
*c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,0.61
*Nc1ccc(*)cc1,0.006
*Nc1ccc(*)cc1,0.03
*Nc1ccc(*)cc1OC,0.047
*Nc1ccc(*)cc1OCC,0.107
*c1ccc(C(C#N)(C(=O)OCCCC)C(*)(C#N)C(=O)OCCCC)cc1,2.74
*c1ccc(C(C#N)(C(=O)OCCCC)C(*)(C#N)C(=O)OCCCC)cc1,5.02
*OC1OC(OCC)C(*)C(OCC)C1OCC,5.0
*OC1OC(OCC)C(*)C(OCC)C1OCC,4.3
*OC1OC(OCC)C(*)C(OCC)C1OCC,3.5
*OC1OC(OC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,0.14
*OC1OC(OC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,0.044
*C=Cc1ccc(*)cc1[Si](CC)(CC)CC,1.8
*C=Cc1ccc(*)cc1[Si](C)(C)C(C)(C)C,1.5
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,1.1
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,3.9
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,4.5
*C=CCCC*,100.0
*Cc1ccc(C*)cc1,0.047
*Cc1ccc(C*)c(Cl)c1,0.0056
*c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4)cc2)C3=O)cc1,0.037
*OC(=O)C(*)C,0.05
*OC(=O)C(*)C,0.02
*OC(=O)C(*)C,0.03
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(C(c%10ccc%11c(c%10)C(=O)N(*)C%11=O)(C(F)(F)F)C(F)(F)F)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,1.71
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(C(=O)c%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,0.83
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,0.96
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(-n8c(=O)c9cc%10c(=O)n(*)c(=O)c%10cc9c8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,1.2
*c1ccc(Oc2ccc(-c3ccc(-c4ccc(-c5ccc(Oc6ccc(N7C(=O)c8ccc(C(c9ccc%10c(c9)C(=O)N(*)C%10=O)(C(F)(F)F)C(F)(F)F)cc8C7=O)cc6)c(C(F)(F)F)c5)cc4)cc3)cc2C(F)(F)F)cc1,3.11
*c1ccc(Oc2ccc(-c3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(*)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C(F)(F)F)c4)cc3)cc2C(F)(F)F)cc1,2.87
*c1ccc(Oc2ccc(-c3cccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(*)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C(F)(F)F)c4)n3)cc2C(F)(F)F)cc1,1.91
*c1ccc(Oc2ccc(-c3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(*)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C(F)(F)F)c4)s3)cc2C(F)(F)F)cc1,1.78
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)cc9)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,1.02
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(C(c9ccc%10c(c9)C(=O)N(*)C%10=O)(C(F)(F)F)C(F)(F)F)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,3.35
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,1.12
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,340.0
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,238.0
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,252.0
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,252.0
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)CCC5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,369.0
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)CCC5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,131.0
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2ccccc2-c2cc(*)c(*)cc21,786.0
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2ccccc2-c2cc(*)c(*)cc21,554.0
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,525.0
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,380.0
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,370.0
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,232.0
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,215.0
*Oc1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccccc3)c2-c2ccccc2)cc1O*,68.0
