# Experimental data from Bicerano_1996; calculated data from Azfal_2021 using Molecular Dynamics; https://dx.doi.org/10.1021/acsapm.0c00524,,,
SMILES,Experiment Tg (K),Calculated Tg (K),Calculated Tg St.Dev. (K)
[*]C(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)N[*],600,676,63.6
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)[*],606,838.3,51.9
[*]C1=CN=C2C=CC(=CC2=N1)S(=O)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],615,848.6,13.2
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)[*],615,811.2,16.8
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C([*])C=C3)C=CC2=N1,618,646.8,8.1
[*]C1=NC2=C(C=CC=C2)C(C2=CC=C(OC3=CC=C(C=C3)C3=C(C4=CC=CC=C4)C(=NC4=C3C=CC=C4)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C=C2)=C1C1=CC=CC=C1,618,703.5,18.5
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(C=C3)C3=CC=C([*])C=C3)C=CC2=N1,624,713.1,15.1
[*]C1=CN=C2C=C3N=CC(=NC3=CC2=N1)C1=CC=C(C=C1)OC1=CC=C(C=C1)[*],626,788.9,33.9
[*]C1=C(N=C2C=CC(=CC2=N1)C1=CC=C2N=C(C3=CC=CC=C3)C(=NC2=C1)C1=CC=C([*])C=C1)C1=CC=CC=C1,645,812.8,42.9
[*]C1=CN=C2C=CC(=CC2=N1)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],649,850.6,34.1
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)NC(=O)[*],658,850.1,27.1
[*]C3=C(N=C2C=C1N=C(C(=NC1=CC2=N3)C4=CC=C(C=C4)[*])C5=CC=CC=C5)C6=CC=CC=C6,668,951.1,48.6
[*]C3=C(N=C2C=C1N=C(C(=NC1=CC2=N3)C4=CC(=CC=C4)[*])C5=CC=CC=C5)C6=CC=CC=C6,668,693.4,37.1
[*]C1=CC=C(C=C1)N5C(=O)C4=CC2=C(C(N(C2=O)C3=CC=C(C=C3)O[*])=O)C=C4C5=O,672,817.2,39
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(NC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)NC(=O)[*],673,842.1,38.1
[*]C1=CC=C(C=C1)N5C(=O)C4=CC2=C(C(N(C2=O)C3=CC=C(C=C3)C([*])=O)=O)C=C4C5=O,685,783,11.8
