SMILES,CO2_permeability
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.010508041
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.09
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.0011571
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.16
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.526315789
*CCOC(=O)c1ccc(C(=O)O*)cc1,4.078947368
*CCOC(=O)c1ccc(C(=O)O*)cc1,15.3
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.12
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.15295
*CCOC(=O)c1cccc(C(=O)O*)c1,0.04522
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.2793
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.1995
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.1862
*CCCCCC(=O)O*,288.0
*OC(C)CC(*)=O,0.48
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,19.0
*CCCCCC(=O)N*,5.4e-05
*CCCCCC(=O)N*,3.1e-05
*CCCCCC(=O)N*,0.5
*CCCCCC(=O)N*,0.053
*CCCCCC(=O)N*,16.0
*CCCCCC(=O)N*,0.032
*CCCCCC(=O)N*,0.1596
*CCCCCCCC(=O)N*,0.0021945
*CCCCCCCCCCCC(=O)N*,0.0040565
*NC(CCC(=O)OC)C(*)=O,10.6
*NC(CCC(=O)OCc1ccccc1)C(*)=O,1.67
*NC(CCC(=O)O)C(*)=O,0.006
*NC(CC(C)C)C(*)=O,38.3
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,0.1
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.8
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.4522
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1.4763
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,1.33
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,30.0
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,1.04
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,1.6
*OC1C(C)(C)C(OC(*)=O)C1(C)C,32.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,8.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,6.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,10.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,6.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,10.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,7.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,15.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,7.4
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,800.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,1.09
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,26.2
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,29.0
*CCCCCCCCCCOC(=O)O*,12.635
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C(C)C)c2)cc1C(C)C,8.64
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,7.5
*CCC1CC(=O)N(*)C1=O,11.704
*O[Si](*)(C)C,3240.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,4.73
*CCc1ccc(*)cc1,1.35096504
*CCc1ccc(*)cc1,1.35096504
*CCc1ccc(*)c(C)c1,0.26322528
*CCc1ccc(*)c(C)c1,0.263999472
*CCc1ccc(*)c(CC)c1,1.88515752
*CCc1ccc(*)c(CC)c1,1.88515752
*CCc1ccc(*)c(C#N)c1,0.30193488
*CCc1ccc(*)c(C#N)c1,0.2999994
*CCc1ccc(*)c(Cl)c1,0.12774168
*CCc1ccc(*)c(Cl)c1,0.126193296
*CCc1ccc(*)c(Br)c1,0.03483864
*CCc1ccc(*)c(Br)c1,0.035999928
*CCc1cc(Cl)c(*)c(Cl)c1,0.78193392
*CCc1cc(Cl)c(*)c(Cl)c1,0.78193392
*CC(*)[Si](C)(C)C,164.92
*CC(*)[Si](C)(C)C,190.0
*CC(*)[Si](C)(C)C,190.0
*C(Cl)=C(*)c1ccccc1,61.0
*C=CC1CC(*)C([Si](C)(C)C)C1,890.0
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,670.0
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,220.0
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,180.0
*C=C(*)C(C)(C)C,1360.0
*OC1C(COCC)OC(*)C(OCC)C1OCC,69.0
*OC1C(CO)OC(*)C(O)C1O,0.0005
